product_id,product_category_name
1E9E8EF04DBCFF4541ED26657EA517E5,PERFUMARIA
3AA071139CB16B67CA9E5DEA641AAA2F,ARTES
96BD76EC8810374ED1B65E291975717F,ESPORTELAZER
CEF67BCFE19066A932B7673E239EB23D,BEBES
9DC1A7DE274444849C219CFF195D0B71,UTILIDADESDOMESTICAS
41D3672D4792049FA1779BB35283ED13,INSTRUMENTOSMUSICAIS
732BD381AD09E530FE0A5F457D81BECB,COOLSTUFF
2548AF3E6E77A690CF3EB6368E9AB61E,MOVEISDECORACAO
37CC742BE07708B53A98702E77A21A02,ELETRODOMESTICOS
8C92109888E8CDF9D66DC7E463025574,BRINQUEDOS
14AA47B7FE5C25522B47B4B29C98DCB9,CAMAMESABANHO
03B63C5FC16691530586AE020C345514,BEBES
CF55509EA8EDAAAC1D28FDB16E48FC22,INSTRUMENTOSMUSICAIS
7BB6F29C2BE57716194F96496660C7C2,MOVEISDECORACAO
EB31436580A610F202C859463D8C7415,CONSTRUCAOFERRAMENTASSEGURANCA
3BB7F144022E6732727D8D838A7B13B3,ESPORTELAZER
6A2FB4DD53D2CDB88E0432F1284A004C,PERFUMARIA
A1B71017A84F92FD8DA4AEEFBA108A24,INFORMATICAACESSORIOS
A0736B92E52F6CEAD290E30B578413B6,MOVEISDECORACAO
F53103A77D9CF245E579EA37E5EC51F0,CAMAMESABANHO
1C1890BA1779090CD54008A3C3302921,MOVEISDECORACAO
518EF5DE2C2B3A255E326A4594BA15D9,CAMAMESABANHO
E3E020AF31D4D89D2602272B315C3F6E,BELEZASAUDE
8B41FBC2B984A12030090112324D1BC4,BEBES
D03BD02AF9FFF4B98F1C972315E5E9EF,MOVEISDECORACAO
8BA4F2A4AE695D26E5626C1BF710975E,UTILIDADESDOMESTICAS
F6574524B07D5BB753BAB6F35ABE2D06,MALASACESSORIOS
C78B767DA00EFB70C1BCCCAB87C28CD5,INFORMATICAACESSORIOS
A0253D43394DD4DA9A5D7B1F546F1A32,INFORMATICAACESSORIOS
051B9FF13DD55C0A6655A15FF296F80D,ESPORTELAZER
47859FCA9DD7485CBD93C3E8993BB74F,CAMAMESABANHO
E1D1D22E9F8122A4EC1533B032C12562,FERRAMENTASJARDIM
20E37962088A4061D3578DEF47A8648B,MOVEISDECORACAO
1EBA879220BD0981A0E2FBAB499ED4E1,MOVEISESCRITORIO
CE5B91848B91118DAFFB3AF53B747475,ESPORTELAZER
5370B82A213393979691C98074265584,BEBES
B8DAC5113B06A97E64943234522572B9,AUTOMOTIVO
750CF819D127191920EDA79A4B6FB479,ELETRONICOS
E6AF694343B45B56304AD91974A110B9,UTILIDADESDOMESTICAS
680874C570DAD71C0A2844CFBF417054,MOVEISDECORACAO
8B3A9476F74F5297F7FF0EC6D95FE1EA,MOVEISDECORACAO
